detailUrl,zpid,status,homeType,streetAddress,unit,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,lotAreaValue,lotAreaUnit,listingdate
https://www.zillow.com/homedetails/24-Midland-Dr-406-Kitchener-ON-N2A-2A8/2066803126_zpid/,2066803126,New construction,CONDO,24 Midland Dr #406,# 406,N2A2A8,Kitchener,ON,43.449265,-80.44732,399900,1,2,815,,,2024-04-01
https://www.zillow.com/homedetails/119-Paige-St-Kitchener-ON-N2K-4P6/2064698922_zpid/,2064698922,House for sale,SINGLE_FAMILY,119 Paige St,,N2K4P6,Kitchener,ON,43.476326,-80.465904,1299900,4,4,,,,2024-06-04
https://www.zillow.com/homedetails/293-Fairway-Rd-N-23-Kitchener-ON-N2A-2P1/350875678_zpid/,350875678,Townhouse for sale,TOWNHOUSE,293 Fairway Rd N #23,# 23,N2A2P1,Kitchener,ON,43.435177,-80.42737,499900,2,2,1075,,,2024-05-15
https://www.zillow.com/homedetails/231-Lawrence-Ave-Kitchener-ON-N2M-1Y3/2065811476_zpid/,2065811476,House for sale,SINGLE_FAMILY,231 Lawrence Ave,,N2M1Y3,Kitchener,ON,43.43954,-80.51207,899900,2,4,,0.29651215794306707,acres,2024-07-10
https://www.zillow.com/homedetails/65-Dalegrove-Dr-Kitchener-ON-N2M-2G6/401719102_zpid/,401719102,House for sale,SINGLE_FAMILY,65 Dalegrove Dr,,N2M2G6,Kitchener,ON,43.440876,-80.529755,749900,2,5,,,,2024-06-04
https://www.zillow.com/homedetails/4-Nyles-Dr-Kitchener-ON-N2E-0G2/347031275_zpid/,347031275,Townhouse for sale,TOWNHOUSE,4 Nyles Dr,,N2E0G2,Kitchener,ON,43.399323,-80.52448,679900,3,3,1565,,,2024-03-13
https://www.zillow.com/homedetails/126-Walter-St-W-Kitchener-ON-N2G-1S4/2064667686_zpid/,2064667686,House for sale,SINGLE_FAMILY,126 Walter St W,,N2G1S4,Kitchener,ON,43.454803,-80.5077,699900,3,4,1117,2490.996,sqft,2024-02-17
https://www.zillow.com/homedetails/56-Grenville-Ave-Kitchener-ON-N2G-3S4/346003158_zpid/,346003158,House for sale,SINGLE_FAMILY,56 Grenville Ave,,N2G3S4,Kitchener,ON,43.43574,-80.4801,869900,2,4,1169,5949.9,sqft,2024-02-23
https://www.zillow.com/homedetails/32-Southdale-Ave-Kitchener-ON-N2M-3V5/352701504_zpid/,352701504,House for sale,SINGLE_FAMILY,32 Southdale Ave,,N2M3V5,Kitchener,ON,43.432335,-80.48714,699900,2,3,1045,5000.3324,sqft,2024-06-27
https://www.zillow.com/homedetails/506-Activa-Ave-Kitchener-ON-N2E-4C1/2064554905_zpid/,2064554905,House for sale,SINGLE_FAMILY,506 Activa Ave,,N2E4C1,Kitchener,ON,43.402897,-80.518364,885000,3,3,1388,3562.82,sqft,2024-01-21
https://www.zillow.com/homedetails/67-Belwood-Cres-Kitchener-ON-N2C-1Z4/352315684_zpid/,352315684,House for sale,SINGLE_FAMILY,67 Belwood Cres,,N2C1Z4,Kitchener,ON,43.422737,-80.44955,750000,2,4,,,,2024-04-07
